[06-Jul-2017 19:23:03 UTC] Start get posts
[06-Jul-2017 19:23:03 UTC] before unique if statement
[06-Jul-2017 19:23:03 UTC] before unique if statement
[06-Jul-2017 19:23:03 UTC] before unique if statement
[06-Jul-2017 19:23:03 UTC] before unique if statement
[06-Jul-2017 19:23:03 UTC] before unique if statement
[06-Jul-2017 19:23:03 UTC] before unique if statement
[06-Jul-2017 19:23:03 UTC] before unique if statement
[06-Jul-2017 19:23:03 UTC] before unique if statement
[06-Jul-2017 19:23:03 UTC] before unique if statement
[06-Jul-2017 19:23:03 UTC] before unique if statement
[06-Jul-2017 19:23:03 UTC] before unique if statement
[06-Jul-2017 19:23:03 UTC] before unique if statement
[06-Jul-2017 19:23:03 UTC] before unique if statement
[06-Jul-2017 19:23:03 UTC] before unique if statement
[06-Jul-2017 19:23:03 UTC] before unique if statement
[06-Jul-2017 19:23:04 UTC] before unique if statement
[06-Jul-2017 19:23:04 UTC] before unique if statement
[06-Jul-2017 19:23:04 UTC] before unique if statement
[06-Jul-2017 19:23:04 UTC] before unique if statement
[06-Jul-2017 19:23:04 UTC] before unique if statement
[06-Jul-2017 19:23:04 UTC] before unique if statement
[06-Jul-2017 19:23:04 UTC] before unique if statement
[06-Jul-2017 19:23:04 UTC] before unique if statement
[06-Jul-2017 19:23:04 UTC] before unique if statement
[06-Jul-2017 19:23:04 UTC] before unique if statement
[06-Jul-2017 19:23:05 UTC] before unique if statement
[06-Jul-2017 19:23:05 UTC] before unique if statement
[06-Jul-2017 19:23:05 UTC] before unique if statement
[06-Jul-2017 19:23:05 UTC] before unique if statement
[06-Jul-2017 19:23:05 UTC] before unique if statement
[06-Jul-2017 19:23:05 UTC] before unique if statement
[06-Jul-2017 19:23:05 UTC] before unique if statement
[06-Jul-2017 19:23:05 UTC] before unique if statement
[06-Jul-2017 19:23:05 UTC] before unique if statement
[06-Jul-2017 19:23:05 UTC] before unique if statement
[06-Jul-2017 19:23:05 UTC] before unique if statement
[06-Jul-2017 19:23:05 UTC] before unique if statement
[06-Jul-2017 19:23:05 UTC] before unique if statement
[06-Jul-2017 19:23:07 UTC] before unique if statement
[06-Jul-2017 19:23:07 UTC] before unique if statement
[06-Jul-2017 19:23:07 UTC] before unique if statement
[06-Jul-2017 19:23:07 UTC] before unique if statement
[06-Jul-2017 19:23:07 UTC] before unique if statement
[06-Jul-2017 19:23:07 UTC] before unique if statement
[06-Jul-2017 19:23:07 UTC] before unique if statement
[06-Jul-2017 19:23:07 UTC] before unique if statement
[06-Jul-2017 19:23:07 UTC] before unique if statement
[06-Jul-2017 19:23:07 UTC] before unique if statement
[06-Jul-2017 19:23:10 UTC] before unique if statement
[06-Jul-2017 19:23:10 UTC] before unique if statement
